errors, JHK = True
N	100	500	1000	5000	20000	100000
k-Neighbors Regressor	0.287	0.3681	0.3358	0.2368	0.2025	0.1617
SGD Regressor	0.4768	0.407	0.4097	0.3771	0.3611	0.379
Ridge Regressor	0.3647	0.5761	0.3209	0.3577	0.3659	0.3354
Elastic Net CV	0.4046	0.4027	0.334	0.3738	0.3425	0.3468
Random Forest Regressor	0.5149	0.2612	0.3013	0.2176	0.1892	0.1507
MLP Regressor	0.2614	0.5856	0.4028	0.3301	0.3331	0.2304
Gradient Boosting Regressor	0.6553	0.3441	0.2573	0.2784	0.2446	0.2332
Decision Tree Regressor	1.3975	0.547	0.6043	0.4193	0.3343	0.2694
Linear SVR	0.4015	0.3231	0.4334	0.4318	0.3696	0.3687
Nu SVR	0.781	0.3894	0.3458	0.2544	0.2178	0.2614
